Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 177500  Y 269000
X 160000  Y 358000
X 151000  Y 372000
X 150500  Y 390000
X 151000  Y 404000
X 200000  Y 352000
X 200000  Y 339000
X 200000  Y 327000
X 207700  Y 284800
X 184000  Y 281700
X 192500  Y 272200
X 187500  Y 261200
X 190500  Y 253000
X 190500  Y 243000
X 203000  Y 238000
X 190500  Y 233000
X 190500  Y 223000
X 200000  Y 216000
X 184000  Y 216000
X 207700  Y 176000
X 207700  Y 171000
X 190000  Y 163000
X 211000  Y 148000
X 244500  Y 222200
X 211000  Y 238000
X 248000  Y 244400
X 251100  Y 248300
X 243000  Y 279000
X 255000  Y 290000
X 243000  Y 290000
X 231000  Y 290000
X 217000  Y 315000
X 217000  Y 327000
X 249500  Y 360500
X 294400  Y 331200
X 294400  Y 269100
X 289600  Y 248300
X 300900  Y 244400
X 266500  Y 171000

Drill: .014  Tool: 2  Feed: 95  Speed: 300
X 254000  Y 278500

Drill: .035  Tool: 3  Feed: 197  Speed: 550
X 109000  Y 310000
X 109000  Y 320000
X 109000  Y 330000
X 109000  Y 340000
X 109000  Y 350000
X 109000  Y 360000
X 109000  Y 370000
X 109000  Y 380000
X 109000  Y 390000
X 109000  Y 400000
X 109000  Y 410000
X 109000  Y 420000
X 109000  Y 430000
X 109000  Y 440000
X 109000  Y 450000
X 137000  Y 436000
X 177000  Y 436000
X 137000  Y 424000
X 177000  Y 424000
X 319000  Y 255400
X 319000  Y 275400
X 282000  Y 350000
X 322000  Y 380000
X 282000  Y 380000
X 337000  Y 440000
X 377000  Y 440000
X 342000  Y 380000
X 342000  Y 350000
X 388000  Y 296000
X 388000  Y 286000
X 388000  Y 276000
X 388000  Y 266000
X 388000  Y 256000
X 388000  Y 246000
X 388000  Y 236000
X 388000  Y 226000
X 388000  Y 216000
X 388000  Y 206000
X 388000  Y 196000
X 388000  Y 186000
X 388000  Y 176000
X 388000  Y 166000
X 388000  Y 156000

Drill: .037  Tool: 4  Feed: 197  Speed: 550
X 207700  Y 208000

Drill: .05  Tool: 5  Feed: 107  Speed: 550
X 282000  Y 401000
X 337000  Y 401000

Drill: .06  Tool: 6  Feed: 89  Speed: 550
X 123000  Y 163000
X 123000  Y 183000
X 123000  Y 203000
X 123000  Y 223000
X 123000  Y 243000
X 123000  Y 263000
X 123000  Y 283000
X 157000  Y 475000
X 177000  Y 475000
X 197000  Y 475000
X 217000  Y 475000
X 201000  Y 125000
X 181000  Y 125000
X 221000  Y 125000
X 161000  Y 125000
X 241000  Y 125000
X 261000  Y 125000
X 281000  Y 125000
X 301000  Y 125000
X 237000  Y 475000
X 257000  Y 475000
X 277000  Y 475000
X 297000  Y 475000
X 317000  Y 475000
X 337000  Y 475000
X 341000  Y 125000
X 321000  Y 125000

End of Listing
